datetime,Direct Short Wave Radiation (W/m^2),Predicted (W),Actual(W),error(W)
18-12-19 15,91.4358,233.97824,107.7242229,126.2540181
18-12-19 16,54.058956,66.42386,0,66.42385864
18-12-19 17,10.670089,46.066185,0,46.066185
18-12-19 18,0,53.86616,0,53.86616135
18-12-19 19,0,45.438774,0,45.43877411
18-12-19 20,0,45.438774,0,45.43877411
18-12-19 21,0,45.438774,0,45.43877411
18-12-19 22,0,45.438774,0,45.43877411
18-12-19 23,0,45.438774,0,45.43877411
19-12-19 00,0,45.438774,0,45.43877411
19-12-19 01,0,45.438774,0,45.43877411
19-12-19 02,0,45.438774,0,45.43877411
19-12-19 03,0,45.438774,0,45.43877411
19-12-19 04,0,45.438774,0,45.43877411
19-12-19 05,0,45.438774,0,45.43877411
19-12-19 06,0,45.438774,0,45.43877411
19-12-19 07,0,45.438774,0,45.43877411
19-12-19 08,0,45.438774,50.284584,-4.845809887
19-12-19 09,0,147.80672,379.6826818,-231.8759649
19-12-19 10,23.848564,1097.5714,878.8326161,218.7387951
19-12-19 11,76.46316,971.53564,1620.486249,-648.9506041
19-12-19 12,124.25948,1350.8549,1473.647069,-122.792211
19-12-19 13,146.5595,952.32166,712.4728563,239.848799
19-12-19 14,142.72249,324.77075,282.2843799,42.48637205
19-12-19 15,115.53008,118.23705,47.8832318,70.35382112
19-12-19 16,67.94287,48.238403,0,48.23840332
19-12-19 17,12.527089,58.33299,0,58.33298874
19-12-19 18,0,55.62055,0,55.62054825
19-12-19 19,0,45.438774,0,45.43877411
19-12-19 20,0,45.438774,0,45.43877411
19-12-19 21,0,45.438847,0,45.43884659
19-12-19 22,0,45.438847,0,45.43884659
19-12-19 23,0,45.438774,0,45.43877411
20-12-19 00,0,45.438774,0,45.43877411
20-12-19 01,0,45.438774,0,45.43877411
20-12-19 02,0,45.438774,0,45.43877411
20-12-19 03,0,45.438774,0,45.43877411
20-12-19 04,0,45.438774,0,45.43877411
20-12-19 05,0,45.438774,0,45.43877411
20-12-19 06,0,45.438774,0,45.43877411
20-12-19 07,0,45.438774,0.00054861,45.4382255
20-12-19 08,0,45.439476,278.2593182,-232.8198421
20-12-19 09,0,979.67224,1697.025053,-717.3528121
20-12-19 10,28.044714,1851.5906,2553.815002,-702.2244261
20-12-19 11,86.595345,2535.7795,2733.790056,-198.0105155
20-12-19 12,127.19729,2270.6045,2544.908161,-274.3036693
20-12-19 13,131.03314,1888.5005,1972.3673,-83.8668115
20-12-19 14,143.71356,1192.7073,1127.409952,65.29732333
20-12-19 15,116.027985,502.0013,187.9248759,314.0764363
20-12-19 16,64.60339,54.22685,0,54.2268486
