datetime,irradiation_prediction,Predicted_Power_Watts,Actual_Power_Watts,error
23-02-20 15,0.9031562999999998,10065.891,3703.729922780793,6362.160702219207
23-02-20 16,0.8470268000000002,7997.0757,1.0043005238462526,7996.071383069904
23-02-20 17,0.5751876999999997,2931.5981,0.0,2931.59814453125
23-02-20 18,0.49753951999999985,3493.795,0.0,3493.794921875
23-02-20 19,0.0,4394.225,0.0,4394.22509765625
23-02-20 20,0.0,4452.7373,0.0,4452.7373046875
23-02-20 21,0.0,4629.0625,0.0,4629.0625
23-02-20 22,0.0,4528.4106,0.0,4528.41064453125
23-02-20 23,0.0,4453.8096,0.0,4453.8095703125
24-02-20 00,0.0,4336.904,0.0,4336.90380859375
24-02-20 01,0.0,4447.5884,0.0,4447.58837890625
24-02-20 02,0.0,4532.539,0.0,4532.5390625
24-02-20 03,0.0,4525.69,0.0,4525.68994140625
24-02-20 04,0.0,4474.14,0.0,4474.14013671875
24-02-20 05,0.0,4521.8306,0.0,4521.83056640625
24-02-20 06,0.0,4534.32,0.0,4534.31982421875
24-02-20 07,0.0,4512.449,3443.379602259105,1069.069616490895
24-02-20 08,0.0,21505.643,10971.21750119339,10534.42507693161
24-02-20 09,28.355790000000002,36212.78,43617.5167743339,-7404.735524333897
24-02-20 10,89.84180500000001,88476.48,40828.99162302843,47647.48493947157
24-02-20 11,151.89648,42177.793,81012.69035863105,-38834.89738988105
24-02-20 12,179.76573,93314.055,66399.11483820002,26914.939849299975
24-02-20 13,253.20581,70352.5,42307.83486681648,28044.665133183516
24-02-20 14,256.7555,34612.844,35669.572520941045,-1056.7287709410448
24-02-20 15,262.30756,33315.035,50878.310445851945,-17563.275289601945
24-02-20 16,214.7244,34620.15,13247.106186185161,21373.042251314837
24-02-20 17,145.82416,3571.485,417.3132999336042,3154.171807488271
24-02-20 18,58.207737,115.26695,0.0,115.26695251464844
24-02-20 19,2.7326941000000007,3096.558,0.0,3096.55810546875
24-02-20 20,0.0,4570.0923,0.0,4570.09228515625
24-02-20 21,0.0,4550.243,0.0,4550.2431640625
24-02-20 22,0.0,4487.5317,0.0,4487.53173828125
24-02-20 23,0.0,4499.5913,0.0,4499.59130859375
25-02-20 00,0.0,4427.957,0.0,4427.95703125
25-02-20 01,0.0,4523.4507,0.0,4523.45068359375
25-02-20 02,0.0,4551.3677,0.0,4551.36767578125
25-02-20 03,0.0,4476.989,0.0,4476.98876953125
25-02-20 04,0.0,4463.838,0.0,4463.837890625
25-02-20 05,0.0,4417.3853,0.0,4417.38525390625
25-02-20 06,0.0,4501.174,0.0,4501.173828125
25-02-20 07,0.0,4393.55,4672.441792754625,-278.89198806712466
25-02-20 08,0.0,28104.791,12446.066940061648,15658.724075563352
25-02-20 09,25.094952,38552.867,32514.642913459807,6038.2242740401925
25-02-20 10,95.81475999999999,68393.16,72415.48209470489,-4022.3258447048865
25-02-20 11,172.65148999999997,113123.61,92059.37576596336,21064.233609036644
25-02-20 12,224.39131,95088.75,75296.96673063362,19791.78326936638
25-02-20 13,281.04614,70270.234,44142.73913347635,26127.495241523648
25-02-20 14,84.14235,29294.143,22836.050030255785,6458.092547869215
25-02-20 15,82.59551,9263.841,16812.122159364135,-7548.281339051635
25-02-20 16,51.67804699999999,5848.6143,3669.414276941057,2179.199980871443
25-02-20 17,114.549866,7933.7314,0.0,7933.7314453125
25-02-20 18,35.045128000000005,610.51996,0.0,610.5199584960938
25-02-20 19,0.09241413999999959,5076.8096,0.0,5076.8095703125
25-02-20 20,0.0,4450.385,0.0,4450.384765625
25-02-20 21,0.0,4559.4546,0.0,4559.45458984375
25-02-20 22,0.0,4603.772,0.0,4603.77197265625
25-02-20 23,0.0,4469.804,0.0,4469.80419921875
26-02-20 00,0.0,4542.624,0.0,4542.6240234375
26-02-20 01,0.0,4493.2617,0.0,4493.26171875
26-02-20 02,0.0,4519.96,0.0,4519.9599609375
26-02-20 03,0.0,4497.107,0.0,4497.10693359375
26-02-20 04,0.0,4511.566,0.0,4511.56591796875
26-02-20 05,0.0,4511.415,0.0,4511.4150390625
26-02-20 06,0.0,4528.7554,0.0,4528.75537109375
26-02-20 07,0.0,4504.589,1420.6895982289398,3083.8992689585602
26-02-20 08,0.04831022000000051,10808.655,13927.342196111136,-3118.686922673636
26-02-20 09,39.376472,57228.992,52758.9375001971,4470.054687302902
26-02-20 10,89.335175,88755.81,61886.124196490564,26869.688303509436
26-02-20 11,171.93573,77104.98,22529.79232514082,54575.18423735918
26-02-20 12,253.83575,34966.723,23766.187426167,11200.535230083002
26-02-20 13,255.53482000000002,23331.918,58375.216906660666,-35043.298937910666
26-02-20 14,14.598618,87852.02,97823.43065755593,-9971.407220055931
26-02-20 15,1.8392563,92990.4,33840.156905284115,59150.241532215885
26-02-20 16,173.09283,31378.527,15525.654899214582,15852.872444535418
26-02-20 17,110.04981000000001,4150.9424,649.1313591608864,3501.8110236516136
26-02-20 18,56.963993,-1619.519,0.0,-1619.51904296875
26-02-20 19,1.7212090000000004,3189.265,0.0,3189.264892578125
26-02-20 20,0.0,4464.617,0.0,4464.6171875
26-02-20 21,0.0,4514.5703,0.0,4514.5703125
26-02-20 22,0.0,4468.533,0.0,4468.533203125
26-02-20 23,0.0,4563.753,0.0,4563.7529296875
27-02-20 00,0.0,4507.0786,0.0,4507.07861328125
27-02-20 01,0.0,4515.0283,0.0,4515.0283203125
27-02-20 02,0.0,4517.57,0.0,4517.56982421875
27-02-20 03,0.0,4507.362,0.0,4507.36181640625
27-02-20 04,0.0,4497.414,0.0,4497.4140625
27-02-20 05,0.0,4526.0347,0.0,4526.03466796875
27-02-20 06,0.0,4468.3066,0.0,4468.306640625
27-02-20 07,0.0,4540.1206,10208.368488848311,-5668.247883379561
27-02-20 08,0.7574658400000002,52620.605,16479.91105698222,36140.69441176778
27-02-20 09,45.157345,36766.41,24308.564442401883,12457.845713848117
27-02-20 10,130.0636,42321.09,81380.0008955721,-39058.9110518221
27-02-20 11,210.01037999999997,138754.88,120510.3501030616,18244.524896938397
27-02-20 12,252.69331,122847.41,172134.64034396192,-49287.23409396192
27-02-20 13,21.172379,145299.8,51343.26304798764,93956.53382701236
27-02-20 14,210.78975,42464.918,116714.19172724972,-74249.27375849972
27-02-20 15,212.08472999999998,102015.414,75238.24579456885,26777.16826793115
27-02-20 16,53.42946,48686.0,30031.833934477083,18654.166065522917
