datetime,irradiation(t-24hr)(W/m^2),Power(t-24hr)(W),Predicted(W),Actual(W),error(W)
09-04-17 17,62.35796634,287.0906528,1840.1445,2847.1314,-1006.986869
09-04-17 18,36.58118818,159.2882119,932.9263,1853.655096,-920.728826
09-04-17 19,3.99149815,8.54835644,438.9016,754.4147008,-315.5130895
09-04-17 20,0.006108858,0,119.78249,183.2683405,-63.48584692
09-04-17 21,0.061647276,0,9.480905,3.4513876,6.029516979
09-04-17 22,0.024426181,0,-17.905565,0,-17.90556526
09-04-17 23,0.024481235,0,-25.646404,0,-25.64640427
10-04-17 00,0.006410333,0,-25.856718,0,-25.85671806
10-04-17 01,0.038790528,0,-22.478127,0,-22.47812653
10-04-17 02,0.182021426,0,-18.651947,0,-18.65194702
10-04-17 03,0.160715456,0,-16.462473,0,-16.46247292
10-04-17 04,0.100451622,0,-15.507282,0,-15.50728226
10-04-17 05,0.245100912,0,-16.530691,0,-16.53069115
10-04-17 06,1.434413322,1.159697846,-21.125189,0,-21.12518883
10-04-17 07,26.53754848,109.1452681,-22.660706,0,-22.66070557
10-04-17 08,73.54993295,349.5866521,40.253002,46.34375809,-6.090755923
10-04-17 09,148.3980536,730.9627428,251.92296,288.028121,-36.10516258
10-04-17 10,181.37614,894.7648297,1007.963,747.7096893,260.2533234
10-04-17 11,606.561443,2803.86321,2194.4976,1314.21855,880.2790085
10-04-17 12,989.5224603,4285.861765,3026.2104,1848.370541,1177.839908
10-04-17 13,824.2548802,3649.588031,3438.9087,1433.704887,2005.203805
10-04-17 14,495.6245214,2304.9402,3471.9968,2144.405273,1327.591553
10-04-17 15,474.2064411,2290.219472,3259.5981,1812.18669,1447.411454
10-04-17 16,200.9063794,996.0983203,2816.3843,1165.664112,1650.720165
10-04-17 17,152.956136,778.5197138,2163.796,1780.140239,383.6556591
10-04-17 18,68.07767484,315.9158544,1359.659,1359.418006,0.241051156
10-04-17 19,10.22871711,31.69396838,560.86945,470.942471,89.92697481
10-04-17 20,0.018524728,0,115.19706,115.5919251,-0.394865482
