Time,variables1,variables2,variables3,variables4,variables5
01-01-17 00,0,-2.1153708,0.802333872514994,0.720097596317124,0
01-01-17 01,0,-2.185371,1,1.15461552498803,0
01-01-17 02,0,-2.2653708,0.891392887495132,1.3042071552852,0
01-01-17 03,0,-2.445371,0.837256350469691,1.07952720011297,0
01-01-17 04,0,-2.8453708,0.848813793986528,0.649966645697771,0
01-01-17 05,0,-3.1253707,0.839938066371233,0.11339805855765,0
01-01-17 06,0,-3.3253708,0.658542457499474,-0.201387890338525,0
01-01-17 07,0,-3.905371,1.04492228749029,0.159530342527724,0
01-01-17 08,0,-4.515371,35.7104913260146,0.621285536007179,196.287864072755
01-01-17 09,0,-4.705371,253.04923145388,3.29857171427289,1959.4698886829
01-01-17 10,26.148186,-4.055371,448.973512510194,6.04116484043277,2824.88341444393
01-01-17 11,85.575325,-2.465371,519.22168388771,9.29239923466657,3111.98962502137
01-01-17 12,131.2479,0.16462925,499.152656127765,10.5741258121284,3022.62258124489
01-01-17 13,155.35715,2.314629,372.170614660033,11.6681211688354,2400.64046195447
01-01-17 14,155.21924,3.2046292,192.703590889536,12.4620817953043,1441.30117823933
01-01-17 15,127.93848,2.9146292,37.3046844021492,8.53516698103875,320.379176532462
01-01-17 16,78.94998,2.1546292,0.790611162385745,5.35918289594063,0.00058303491369877
01-01-17 17,19.091257,1.0746293,0.606116646846972,3.90610675021346,0
01-01-17 18,0,-0.39537075,0.889950863437651,2.69694562332729,0
01-01-17 19,0,-1.4253707,0.800323276072784,2.57517238423624,0
01-01-17 20,0,-1.5253707,0.663485749370434,2.64972617295494,0
01-01-17 21,0,-1.3453708,0.927213829239837,2.34781078339114,0
01-01-17 22,0,-1.0853708,0.98495029181899,1.7850306280352,0
01-01-17 23,0,-0.7853707,0.920556882601591,1.20909497876195,0
02-01-17 00,0,-0.6653707,0.999870438806015,0.99021327553452,0
02-01-17 01,0,-0.6453707,0.930553603669268,0.841585359943083,0
02-01-17 02,0,-0.8553707,0.619144683370076,0.925474135649351,0
02-01-17 03,0,-0.8253707,0.577733405668663,1.5756067487636,0
02-01-17 04,0,-0.7953707,0.649762538225104,1.22711400649796,0
02-01-17 05,0,-0.9653707,0.582525721763968,1.94705217942921,0
02-01-17 06,0,-0.5753707,0.689055696688319,2.23677392587872,0
02-01-17 07,0,-0.15537076,1.03238294926819,2.49314101970108,0
02-01-17 08,0,-0.005370751,3.90167342952441,2.51761221682945,3.92852936283712
02-01-17 09,0,0.12462925,13.3978361402626,2.76858025072729,41.6186099961283
02-01-17 10,11.207832,0.43462923,28.2437971583309,2.83392345898958,118.527348346694
02-01-17 11,40.60498,0.7046293,39.7517458380992,2.39600033533521,169.485452251627
02-01-17 12,90.35071,0.9146293,33.2633577753953,2.43112701045297,118.144865774719
02-01-17 13,128.01009,1.5246292,32.0292181099783,2.37495117377875,136.658205668102
02-01-17 14,15.41811,0.12462925,20.4237529595754,2.35775932233387,79.2511126361252
02-01-17 15,25.634766,0.88462925,1.96136483723417,2.45470105880937,1.81747660416325
